,photographer,nationality,description,persons,tot_persons,organizations,tot_organizations,places,tot_places
695,Fausto Podavini,Italy,"His passion for photography began when he was 18, first as assistant and studio photographer, then working on ethnological and social reportage. In 1992, he worked at MIFAV, the photography museum at Tor Vergata University in Rome and then studied at the John Kaverdash photography academy in Milan, taking a master’s degree in reportage. Podavini left studio photography to dedicate himself exclusively to reportage, and is nowadays a freelance photographer, collaborating with a number of NGOs. He has covered issues in Italy, Peru, Kenya, and Ethiopia, where he is currently developing personal photographic projects. His long term project “MiRelLa”, about Alzheimer's Disease, won him awards in the 2013 World Press Photo contest, Sony, PDN, World Report Award, SDN, Jacob Riis Award and The Fence. He also received recognition as Reporter for the Earth 2017.","{'John Kaverdash', 'Jacob Riis Award'}",2,"{'PDN', 'Podavini', 'Sony', 'World Report Award', 'MIFAV', 'SDN', 'Tor Vergata University'}",7,"{'Peru', 'Rome', 'Ethiopia', 'Kenya', 'Milan', 'Italy'}",6
696,Fayez Nureldine,Palestinian Territories,,set(),0,set(),0,set(),0
697,Fayssal Zaoui,Morocco,"Fayssal Zaoui (Morocco, 1987) is a self-taught photographer who attributes his choice of profession largely to Hay Mohammady, the area in Casablanca where he grew up. After studying communication, he explored a range of news media while working for local publications like Les Echos and Telquel. Meeting the well-known British portrait photographer Alan Keohane and working as his assistant, enabled Zaoui to study different aspects of his profession. Today he tries to present an innovative, authentic, and personal vision of the world by capturing the fleeting moments, faces, and landscapes that surround him.","{'Fayssal Zaoui', 'Alan Keohane', 'Zaoui'}",3,{'Les Echos'},1,"{'Morocco', 'Hay Mohammady', 'Casablanca'}",3
698,Fei Maohua,China,,set(),0,set(),0,set(),0
699,Feisal Omar,Somalia,"Feisal Omar Hashi was born in 1982 in Burao, Northern Somalia, and is currently based in Mogadishu. In 1999, as a student studying several subjects, including photography and editing, at a media institute in Mogadishu, he started working with a local Somali website. He began working with Reuters in early 2007, and has since operated in Mogadishu amid the escalating violence.",{'Omar Hashi'},1,"{'Reuters', 'Burao, Northern Somalia'}",2,{'Mogadishu'},1
700,Felicia Webb,United Kingdom,,set(),0,set(),0,set(),0
701,Felipe Fittipaldi,Brazil,"“Felipe captures and brings together a few critical elements as a Brazilian photographer in his work: the texture of light unique to Brazil, a sense of palette true to the physical and social terrain, and finally a respect for his subjects that in its honesty allows both the tragedy and beauty to come through in his chosen moments. So much is captured of the urban hardships of Brazil but Felipe’s work in the rural environments, which in no way turn a blind eye to the unique hardships that exist there, make him one of the first photographers that come to mind when I think of those whose vision still needs to be seen more by the rest of the viewing and watching world.” – Dan Immel, USA, editor, curator, photographer, and project manager Born in 1982, Felipe Fittipaldi is a Brazilian photographer currently based in Rio de Janeiro. Felipe followed his Bachelor in Communication with post-graduate studies in Communication and Images. He collaborates with the main national and international newspapers and magazine such as El País, National Geographic, Folha de São Paulo and Veja Magazine. Felipe has been awarded with the Picture of the Year Latam, a Lens Culture Emerging Talents Award 2017, Life Framer Award 2017, National Geographic Photo Contest, SEBRAI Journalism Award, I Exhibition CCSP, Magnum Caravan Scholarship 2017 and PEF 2017, amongst others. In addition to commercial work, he is engaged in personal projects related to social and environmental issues. See Felipe Fittpaldi's 'Backlands Sertão' on Witness, World Press Photo's online magazine. Felipe Fittipaldi received a nomination from Dan Immel. Find out about the 6x6 nomination process and our growing community of global nominators.","{'Born', 'Dan Immel', ""Felipe Fittpaldi's""}",3,"{'PEF', 'Felipe Fittipaldi', 'Witness', 'Sertão', ""World Press Photo's"", 'National Geographic', 'Communication and Images', 'Felipe', 'National Geographic Photo Contest', 'the Picture of the Year Latam', 'Veja Magazine'}",11,"{'USA', 'Brazil', 'El País'}",3
702,Felipe Caicedo Chacón,Colombia,,set(),0,set(),0,set(),0
703,Felipe Dana,Brazil,"He started his career as an assistant photographer when he was only 15. He later pursued a degree in photography at a university in his hometown, all the while working as a commercial photographer and contributing to various local and international news agencies. In 2009, he joined the Associated Press and decided to dedicate himself solely to photojournalism, focusing on the social upheaval in his native city as it prepared for the 2014 World Cup and 2016 Olympics. Dana also documented urban violence in Latin America, the Zika epidemic and most recently the Mosul offensive in Iraq. His work has received a number of awards including World Press Photo, POYi - Pictures of the Year International and Latam, NPPA, CHIPP - China International Photo Competition, the Atlanta Photojournalism, among others. In 2015, he participated in the first World Press Photo Masterclass Latin America.",{'Dana'},1,"{'the Atlanta Photojournalism', 'Latam, NPPA', 'CHIPP - China International Photo Competition', 'the Associated Press', 'World Press Photo', 'POYi - Pictures of'}",6,"{'Mosul', 'Iraq'}",2
704,Fereshteh Eslahi,Iran,"Fereshteh Eslahi is a documentary photographer based in Iran.

She is interested in different cultures and stories as well as relationships and emotions. In her work, she pays attention to the ignored details of human nature and its complexity as well as the behavioral diversity within different cultures and societies.

Eslahi graduated from the University of Tehran with a master's degree in theater art and has been working as a photojournalist with Iranian news agencies since 2014.

In 2017 she became a member of the Iranian Press Photographers Association. She became a member of Podium Photos in 2020 and is an active member of the Podium Mentor Program group.

World Press Photo Involvement:
Award-winning photographer 2021 Photo Contest

Fereshteh Eslahi on Social Media:
Instagram: @fereshteh.eslahi Image credit: Esmaeil Ghanavati","{'Eslahi', 'Esmaeil Ghanavati'}",2,"{'Fereshteh Eslahi', 'the University of Tehran', 'the Iranian Press Photographers Association', 'World Press Photo Involvement', '@fereshteh.eslahi Image', 'the Podium Mentor Program'}",6,{'Iran'},1
705,Ferhat Bouda,Algeria,"In 2000 he left his country and lived in Paris where he found a camera by chance, and then started to develop his passion for photography. Bouda is attracted to his country of origin and to other regions of Berber or nomadic tribes. In 2010 he started his project about Berbers, returning frequently to help draw attention to the needs of people living in this region.",{'Berber'},1,set(),0,{'Paris'},1
706,Fernando Botán Mon,Spain,"Spanish photographer Fernando Botán Mon (1908-1983) acquired his first camera in 1957 and began photographing bullfights in arenas around Spain. In the 1960, his hobby became his profession when, together with his son Fernando Botán Castillo, he established a photographic studio, agency and publishing house, specialized in photos of bullfights.","{'Fernando Botán Mon', 'Fernando Botán Castillo'}",2,{'publishing house'},1,{'Spain'},1
707,Fernando Brito,Mexico,"Fernando Brito was born in Culiacán, Sinaloa, Mexico, and studied marketing at the Universidad de Occidente Culiacán. Since 2004, he has been photography editor of the newspaper El Debate de Culiacán. Among his honors are acknowledgments at the 12th Biennial of Visual Arts Northwest in 2009, and the Biennial of the Image Center in 2010. Brito was selected for the Mexican Expo Foto Periodismo in 2010 and 2011.",{'Fernando Brito'},1,"{'Sinaloa', 'El Debate de Culiacán'}",2,"{'Culiacán', 'Mexico'}",2
708,Fernando Marcos Ibanez,Spain,,set(),0,set(),0,set(),0
709,Fernando Moleres,Spain,"Fernando Moleres was born in Bilbao, Spain in 1963. He began work as a nurse in his home village, traveling in 1987 to pursue that calling in Nicaragua, during the Sandinista period. It was there that Moleres began to appreciate the value of photography and to teach himself how to do it. During the early 1990s, he combined nursing work with long periods traveling and doing photo projects, such as Children at Work, which lasted several years and took him to many countries. His photos have appeared in a number of international publications, such as Stern, Le Figaro Magazine, Le Monde 2, La Republica, Io Donna, The Independent and The Sunday Times Magazine. Moleres has published two books and has had more than 20 solo exhibitions worldwide. His honors include a Picture of the Year 2011, two previous World Press Photo prizes (in 2008 and 1998), a W. Eugene Smith Grant, a Erna and Victor Hasselblad Foundation Grant, and a Lucia Award 2012 Deeper Perspectives Award, among others. Moleres is now based in Barcelona.","{'Fernando Moleres', 'W. Eugene Smith Grant', 'Io Donna', 'La Republica'}",4,"{'Le Figaro Magazine', 'The Independent and', 'The Sunday Times Magazine', 'World Press Photo'}",4,"{'Bilbao', 'Nicaragua', 'Spain', 'Barcelona', 'Stern'}",5
710,Fernando Moleres Alava,Spain,,set(),0,set(),0,set(),0
711,Filip Cwik,Poland,"Filip Cwik was born in Poland in 1973, and received a degree in cultural studies from Adam Mickiewicz University in Poznan. He has been a photojournalist with Newsweek Polska for more than 10 years, previously working for the Gazeta Wyborcza daily. Cwik is a co-founder and member of Napo Images photographic agency. For many years his reportages for Newsweek focused on leading figures in the world of Polish politics. He also covered Afghanistan, Ukraine and Denmark. He is currently busy with a project on the former Russian republics. Cwik is the winner of numerous awards and gives classes at the Department of Journalism, Warsaw University. He interests range over documentary, television and radio, but most of all, still photography.","{'Filip Cwik', 'Gazeta Wyborcza'}",2,"{'Newsweek', 'Warsaw University', 'the Department of Journalism,', 'Napo Images', 'Cwik', 'Adam Mickiewicz University'}",6,"{'Poznan', 'Ukraine', 'Poland', 'Afghanistan', 'Denmark'}",5
